manufacturer,title,price
Harley Benton,SC-Custom II Ocean Fla B-Stock,£194
Traveler Guitar,LTD EC-1 Snow White B-Stock,£662
Charvel,Pro-Mod SC ST2 HH HT S B-Stock,£729
Harley Benton,CST-24T Black Cherry F B-Stock,£203
Harley Benton,SC-400LH SBK Classic S B-Stock,£98
Harley Benton,TE-80 NT Deluxe Series B-Stock,£146
Harley Benton,CST-24T Emerald Flame B-Stock,£221
Harley Benton,Fusion-T HH HT EB PSP B-Stock,£239
Epiphone,Slash AFD LP Performan B-Stock,£273
Harley Benton,TE-69TL Hot Rod NT Roa B-Stock,£176
Harley Benton,ST-90SA Swamp Ash DLX  B-Stock,£138
Charvel,Pro-Mod DK24 HH 2PT CM B-Stock,£777
Ibanez,GRG170DX-BKN B-Stock,£214
Harley Benton,SC-200LH BK Student Se B-Stock,£98
Yamaha,Pacifica 611HFM RB B-Stock,£577
Squier,Affinity Strat FSR H H B-Stock,£192
Harley Benton,Fusion-III HSH EB FCH B-Stock,£230
Harley Benton,TE-62CC IS B-Stock,£123
Yamaha,Revstar RSS20 Swift Bl B-Stock,£633
Ibanez,RGRTB621-BKF B-Stock,£922
Harley Benton,TE-62DB CAR B-Stock,£132
Harley Benton,SC-450Plus CB Vintage  B-Stock,£164
Yamaha,Revstar RSS20 Black B-Stock,£633
Ibanez,RG370AHMZ-BMTStandard B-Stock,£455
Harley Benton,Fusion-III HH HT Roast B-Stock,£274
Fender,Mustang 90 BMM B-Stock,£492
Ibanez,ATZ10P-STM Andy Timmon B-Stock,"£1,139"
Ibanez,RGIB21-BK B-Stock,£644
Kramer Guitars,Baretta Special Purple B-Stock,£165
Harley Benton,TE-90FLT Black Blast B-Stock,£146
Gretsch,G5422G-12 Electromatic B-Stock,£769
Harley Benton,SC-Junior Vintage Sunb B-Stock,£164
Squier,Affinity Strat B-Stock,£196
Ibanez,SEW761FM-NTF B-Stock,£644
Gretsch,G5420T Electromatic AM B-Stock,£615
Harley Benton,R-457MN WH Fanfret B-Stock,£155
Ibanez,Q54-SFM B-Stock,£793
Harley Benton,MR-Modern SB B-Stock,£212
Harley Benton,TE-90FLT VW Deluxe Ser B-Stock,£146
Squier,Bullet Strat HS B-Stock,£133
Squier,Strat Pack SSS BSB B-Stock,£205
ESP,Viper-201B Baritone Bl B-Stock,£409
Traveler Guitar,EG-1 Custom V2 Gloss B B-Stock,£563
PRS,SE Tremonti Custom CA B-Stock,£743
Yamaha,Pacifica 120H BK B-Stock,£264
Ibanez,AG95QA-DBS B-Stock,£614
Fender,Vintera 60s Jaguar Mod B-Stock,£929
Ibanez,RG631ALF-BCM B-Stock,£799
Harley Benton,ST-20LH BK Standard Se B-Stock,£63
Epiphone,SG Custom Ebony LH B-Stock,£424
Ibanez,RGD71ALPA-CKF B-Stock,"£1,164"
Harley Benton,DC-200 BK Student Seri B-Stock,£72
Squier,CV 70s Jaguar LRL 3 B-Stock,£348
Harley Benton,TE-90FLT SB Deluxe Ser B-Stock,£146
Ibanez,AZES31-VM B-Stock,£248
Blackstar,Carry On ST Travel Gui B-Stock,£147
Harley Benton,ST-62LH BK Vintage B-Stock,£123
ESP,LTD TE-200 Maple STBC B-Stock,£339
Yamaha,Pacifica 612V II X MSB B-Stock,£666
Epiphone,Billie Joe Armstrong L B-Stock,£407
